,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,air_quality_index,pollution_level,weekday,season
7331,7332,2013,12,31,11,42,366,12,10,400,58,8.3,1006.6,-12.8,0,N,6,Aotizhongxin,119,Unhealthy,Weekday,Winter
7332,7333,2013,12,31,12,33,274,11,8,400,63,9.4,1005.6,-12.5,0,NW,3,Aotizhongxin,94.5,Moderate,Weekday,Winter
7333,7334,2013,12,31,13,29,139,10,7,400,65,9.8,1005.6,-12.8,0,NW,3,Aotizhongxin,60,Moderate,Weekday,Winter
7334,7335,2013,12,31,14,23,122,5,6,400,66,9.9,1005.8,-12.7,0,NW,3,Aotizhongxin,54.25,Moderate,Weekday,Winter
7335,7336,2013,12,31,15,21,90,6,7,400,65,9.2,1006.4,-13.9,0,NW,4,Aotizhongxin,45.75,Good,Weekday,Winter
7336,7337,2013,12,31,16,16,94,4,7,400,64,8.3,1006.6,-14,0,NW,2,Aotizhongxin,45.25,Good,Weekday,Winter
7337,7338,2013,12,31,17,16,95,7,14,400,53,7.9,1007.1,-15,0,NW,4,Aotizhongxin,44.5,Good,Weekday,Winter
7338,7339,2013,12,31,18,16,93,10,26,500,42,8,1007.6,-14.9,0,NW,4,Aotizhongxin,44.25,Good,Weekday,Winter
7339,7340,2013,12,31,19,18,97,8,25,600,41,7.5,1007.9,-14.7,0,NW,2,Aotizhongxin,45.25,Good,Weekday,Winter
7340,7341,2013,12,31,20,18,97,8,25,600,34,7.2,1008.3,-14.3,0,NW,2,Aotizhongxin,43.5,Good,Weekday,Winter
7341,7342,2013,12,31,21,18,102,18,43,700,25,5.1,1008.6,-14.4,0,SW,0,Aotizhongxin,47,Good,Weekday,Winter
7342,7343,2013,12,31,22,22,93,18,51,700,17,2.4,1008.6,-14.3,0,SW,0,Aotizhongxin,45.75,Good,Weekday,Winter
7343,7344,2013,12,31,23,22,100,20,55,800,13,0,1007.9,-11.7,0,SW,1,Aotizhongxin,47.5,Good,Weekday,Winter
7344,7345,2014,1,1,0,20,90,18,62,900,42,-1.5,1007.3,-12.5,0,SE,0,Aotizhongxin,53.5,Moderate,Weekday,Winter
7345,7346,2014,1,1,1,43,348,25,91,1100,1,-2.6,1006.9,-12.1,0,SW,0,Aotizhongxin,120.75,Unhealthy,Weekday,Winter
7346,7347,2014,1,1,2,79,423,41,103,1800,1,-3,1006.9,-11.3,0,SW,0,Aotizhongxin,151.5,Unhealthy,Weekday,Winter
7347,7348,2014,1,1,3,82,337,43,101,2100,1,-3.3,1006.4,-11.1,0,SW,0,Aotizhongxin,130.25,Unhealthy,Weekday,Winter
7348,7349,2014,1,1,4,124,594,59,130,2400,1,-2.7,1006.1,-10.5,0,NE,1,Aotizhongxin,212.25,Unhealthy,Weekday,Winter
7349,7350,2014,1,1,5,89,307,47,102,2500,1,-3.1,1006.6,-10.4,0,N,1,Aotizhongxin,124.75,Unhealthy,Weekday,Winter
7350,7351,2014,1,1,6,59,161,45,91,1900,1,-2.6,1007.2,-10.9,0,S,1,Aotizhongxin,78,Moderate,Weekday,Winter
7351,7352,2014,1,1,7,31,93,24,69,900,4,-2.9,1007.9,-10.2,0,SE,1,Aotizhongxin,49.25,Good,Weekday,Winter
7352,7353,2014,1,1,8,21,90,18,52,700,17,0,1008.8,-8.5,0,W,1,Aotizhongxin,45,Good,Weekday,Winter
7353,7354,2014,1,1,9,38,142,25,87,1200,1,9,1009.6,-11.6,0,NW,1,Aotizhongxin,67,Moderate,Weekday,Winter
7354,7355,2014,1,1,10,33,130,27,63,1200,16,10.3,1009.4,-11.7,0,NW,1,Aotizhongxin,60.5,Moderate,Weekday,Winter
7355,7356,2014,1,1,11,25,80,21,27,700,44,10.7,1009.1,-11.4,0,NW,3,Aotizhongxin,44,Good,Weekday,Winter
7356,7357,2014,1,1,12,23,71,17,14,500,56,11.8,1008.3,-11.1,0,NW,2,Aotizhongxin,41,Good,Weekday,Winter
7357,7358,2014,1,1,13,22,68,15,9,500,61,12.3,1007.9,-11.4,0,N,3,Aotizhongxin,40,Good,Weekday,Winter
7358,7359,2014,1,1,14,22,57,13,10,500,61,12.6,1008.4,-11.1,0,N,2,Aotizhongxin,37.5,Good,Weekday,Winter
7359,7360,2014,1,1,15,19,54,12,11,500,60,12.3,1008.8,-10.7,0,W,0,Aotizhongxin,36,Good,Weekday,Winter
7360,7361,2014,1,1,16,20,57,11,15,500,57,7.5,1009.4,-10.8,0,SW,0,Aotizhongxin,37.25,Good,Weekday,Winter
7361,7362,2014,1,1,17,21,59,13,24,600,46,3.3,1009.9,-10.7,0,W,1,Aotizhongxin,37.5,Good,Weekday,Winter
7362,7363,2014,1,1,18,34,118,18,70,1000,10,1.7,1010.5,-10.8,0,SW,0,Aotizhongxin,58,Moderate,Weekday,Winter
7363,7364,2014,1,1,19,52,149,24,99,1500,1,0.5,1011.2,-9.8,0,SW,0,Aotizhongxin,75.25,Moderate,Weekday,Winter
7364,7365,2014,1,1,20,61,157,28,107,2200,1,-0.5,1011.7,-9.9,0,W,0,Aotizhongxin,81.5,Moderate,Weekday,Winter
7365,7366,2014,1,1,21,86,168,35,112,2800,1,-1.4,1012.5,-9.3,0,SW,0,Aotizhongxin,91.75,Moderate,Weekday,Winter
7366,7367,2014,1,1,22,86,168,35,112,3100,1,-1.8,1013.1,-8.8,0,NE,1,Aotizhongxin,91.75,Moderate,Weekday,Winter
7367,7368,2014,1,1,23,76,139,44,107,2600,1,-2.4,1013,-8.7,0,NE,0,Aotizhongxin,80.75,Moderate,Weekday,Winter
7368,7369,2014,1,2,0,94,166,72,106,3300,1,0,1012.9,-8.7,0,NE,1,Aotizhongxin,91.75,Moderate,Weekday,Winter
7369,7370,2014,1,2,1,139,207,88,97,3700,1,0.5,1013.4,-9.5,0,NE,0,Aotizhongxin,111,Unhealthy,Weekday,Winter
7370,7371,2014,1,2,2,165,202,87,92,3100,1,-1.2,1013.7,-9.3,0,NE,1,Aotizhongxin,115,Unhealthy,Weekday,Winter
7371,7372,2014,1,2,3,119,184,83,82,2800,1,-0.7,1013.6,-9.4,0,NE,0,Aotizhongxin,96.5,Moderate,Weekday,Winter
7372,7373,2014,1,2,4,135,164,72,79,2300,1,-0.8,1013.7,-9.4,0,NE,1,Aotizhongxin,94.75,Moderate,Weekday,Winter
7373,7374,2014,1,2,5,74,113,59,67,1700,1,-0.4,1014,-9.8,0,NE,1,Aotizhongxin,63.75,Moderate,Weekday,Winter
7374,7375,2014,1,2,6,86,154,66,67,2500,1,-1.1,1014.4,-9.5,0,NE,2,Aotizhongxin,77,Moderate,Weekday,Winter
7375,7376,2014,1,2,7,166,247,72,73,4600,1,-1.3,1015.1,-8.3,0,NE,1,Aotizhongxin,121.75,Unhealthy,Weekday,Winter
7376,7377,2014,1,2,8,118,137,42,64,3800,1,-0.6,1015.4,-6.4,0,NE,0,Aotizhongxin,80,Moderate,Weekday,Winter
7377,7378,2014,1,2,9,117,190,81,67,3900,1,1.9,1015.3,-4.8,0,NE,2,Aotizhongxin,93.75,Moderate,Weekday,Winter
7378,7379,2014,1,2,10,119,219,105,75,4100,1,2.9,1014.4,-4.8,0,N,0,Aotizhongxin,103.5,Unhealthy,Weekday,Winter
7379,7380,2014,1,2,11,130,165,112,74,3500,1,4.2,1012.9,-5.1,0,NE,1,Aotizhongxin,92.5,Moderate,Weekday,Winter
7380,7381,2014,1,2,12,100,162,104,81,3500,1,6.1,1011.5,-5,0,NE,0,Aotizhongxin,86,Moderate,Weekday,Winter
7381,7382,2014,1,2,13,110,164,104,85,3200,2,7.4,1010.3,-5.3,0,E,0,Aotizhongxin,90.25,Moderate,Weekday,Winter
7382,7383,2014,1,2,14,141,149,100,86,2900,4,7.9,1009.7,-5.2,0,NW,1,Aotizhongxin,95,Moderate,Weekday,Winter
7383,7384,2014,1,2,15,402,151,97,92,2900,3,7,1009.9,-5.4,0,SE,0,Aotizhongxin,162,Unhealthy,Weekday,Winter
7384,7385,2014,1,2,16,259,136,82,98,2700,1,3.7,1009.9,-5.5,0,SW,1,Aotizhongxin,123.5,Unhealthy,Weekday,Winter
7385,7386,2014,1,2,17,170,201,79,107,2900,1,2,1010.5,-5.2,0,SW,0,Aotizhongxin,119.75,Unhealthy,Weekday,Winter
7386,7387,2014,1,2,18,131,217,88,120,3400,1,0.6,1010.4,-5.4,0,E,0,Aotizhongxin,117.25,Unhealthy,Weekday,Winter
7387,7388,2014,1,2,19,146,227,84,121,3800,1,1.4,1010.8,-4.9,0,NE,1,Aotizhongxin,123.75,Unhealthy,Weekday,Winter
7388,7389,2014,1,2,20,160,239,86,127,4100,1,3.5,1011.5,-4.9,0,NE,1,Aotizhongxin,131.75,Unhealthy,Weekday,Winter
7389,7390,2014,1,2,21,182,253,123,128,4200,1,2.8,1011.8,-5.1,0,E,0,Aotizhongxin,141,Unhealthy,Weekday,Winter
7390,7391,2014,1,2,22,180,266,147,127,4600,1,0.5,1012.1,-4.7,0,NE,1,Aotizhongxin,143.5,Unhealthy,Weekday,Winter
7391,7392,2014,1,2,23,198,299,141,134,5000,1,3.1,1012.2,-5.1,0,E,0,Aotizhongxin,158,Unhealthy,Weekday,Winter
7392,7393,2014,1,3,0,197,291,139,121,4800,1,4.1,1012.8,-7.7,0,NE,1,Aotizhongxin,152.5,Unhealthy,Weekday,Winter
7393,7394,2014,1,3,1,166,219,112,108,3900,1,6.2,1013.1,-11,0,N,2,Aotizhongxin,123.5,Unhealthy,Weekday,Winter
7394,7395,2014,1,3,2,87,110,62,74,2100,1,5.9,1013.7,-11.7,0,NE,2,Aotizhongxin,68,Moderate,Weekday,Winter
7395,7396,2014,1,3,3,53,96,22,38,600,4,5.2,1014,-11.9,0,NE,2,Aotizhongxin,47.75,Good,Weekday,Winter
7396,7397,2014,1,3,4,30,129,15,38,500,19,5.3,1014.2,-12.2,0,N,3,Aotizhongxin,54,Moderate,Weekday,Winter
7397,7398,2014,1,3,5,35,172,19,19,500,40,4.6,1014.5,-12.4,0,N,3,Aotizhongxin,66.5,Moderate,Weekday,Winter
7398,7399,2014,1,3,6,77,164,24,17,500,44,3.7,1015.7,-12.3,0,NE,4,Aotizhongxin,75.5,Moderate,Weekday,Winter
7399,7400,2014,1,3,7,35,145,26,28,500,33,3.4,1016.9,-12.2,0,N,3,Aotizhongxin,60.25,Moderate,Weekday,Winter
7400,7401,2014,1,3,8,33,129,25,33,500,29,4.1,1018.2,-12,0,NE,2,Aotizhongxin,56,Moderate,Weekday,Winter
7401,7402,2014,1,3,9,29,114,21,31,500,31,5.9,1018.8,-11.7,0,NE,3,Aotizhongxin,51.25,Moderate,Weekday,Winter
7402,7403,2014,1,3,10,28,114,21,30,500,31,6.7,1018.6,-12,0,NE,2,Aotizhongxin,50.75,Moderate,Weekday,Winter
7403,7404,2014,1,3,11,31,108,24,31,600,34,7.4,1017.5,-11.9,0,NE,2,Aotizhongxin,51,Moderate,Weekday,Winter
7404,7405,2014,1,3,12,24,83,21,15,500,49,8.5,1016.3,-11.5,0,NE,2,Aotizhongxin,42.75,Good,Weekday,Winter
7405,7406,2014,1,3,13,20,43,17,9,400,60,9,1015.7,-11.6,0,NE,2,Aotizhongxin,33,Good,Weekday,Winter
7406,7407,2014,1,3,14,16,32,14,7,400,63,9.5,1015.8,-11.2,0,NE,3,Aotizhongxin,29.5,Good,Weekday,Winter
7407,7408,2014,1,3,15,16,40,17,11,400,60,8.9,1016.1,-11.7,0,NE,2,Aotizhongxin,31.75,Good,Weekday,Winter
7408,7409,2014,1,3,16,18,33,16,15,400,58,6,1016.6,-11.2,0,E,1,Aotizhongxin,31,Good,Weekday,Winter
7409,7410,2014,1,3,17,21,44,19,39,500,33,3.1,1017.5,-11.6,0,SE,0,Aotizhongxin,34.25,Good,Weekday,Winter
7410,7411,2014,1,3,18,33,85,20,73,800,3,0.1,1017.9,-9.9,0,W,0,Aotizhongxin,48.5,Good,Weekday,Winter
7411,7412,2014,1,3,19,36,97,21,78,1000,1,-1.5,1018.7,-8.7,0,S,0,Aotizhongxin,53,Moderate,Weekday,Winter
7412,7413,2014,1,3,20,36,88,21,84,1200,1,-2.2,1018.7,-9.1,0,W,0,Aotizhongxin,52.25,Moderate,Weekday,Winter
7413,7414,2014,1,3,21,36,88,21,84,1200,1,-2.7,1018.6,-8,0,NW,0,Aotizhongxin,52.25,Moderate,Weekday,Winter
7414,7415,2014,1,3,22,65,168,51,89,1700,1,-2.6,1019,-8.7,0,SW,1,Aotizhongxin,80.75,Moderate,Weekday,Winter
7415,7416,2014,1,3,23,90,161,65,83,2000,1,-1.1,1019.1,-7.5,0,SW,1,Aotizhongxin,83.75,Moderate,Weekday,Winter
7416,7417,2014,1,4,0,79,131,55,75,1600,1,-0.9,1018.8,-7.3,0,NE,0,Aotizhongxin,71.5,Moderate,Weekday,Winter
7417,7418,2014,1,4,1,81,136,51,70,1700,1,-1.1,1019.2,-7.9,0,NE,1,Aotizhongxin,72,Moderate,Weekday,Winter
7418,7419,2014,1,4,2,74,118,40,66,2000,1,-1.8,1019.5,-6,0,NE,1,Aotizhongxin,64.75,Moderate,Weekday,Winter
7419,7420,2014,1,4,3,69,102,34,62,1800,1,-2.4,1019,-5.5,0,NW,1,Aotizhongxin,58.5,Moderate,Weekday,Winter
7420,7421,2014,1,4,4,66,102,30,60,1700,1,-2,1018.6,-4.7,0,NE,1,Aotizhongxin,57.25,Moderate,Weekday,Winter
7421,7422,2014,1,4,5,67,94,27,61,1700,1,-3.1,1018.5,-5.1,0,NE,1,Aotizhongxin,55.75,Moderate,Weekday,Winter
7422,7423,2014,1,4,6,74,90,31,61,1800,1,-2.2,1018.4,-4.2,0,NE,1,Aotizhongxin,56.5,Moderate,Weekday,Winter
7423,7424,2014,1,4,7,73,103,45,64,1800,1,-1.3,1018.7,-4.5,0,NE,1,Aotizhongxin,60.25,Moderate,Weekday,Winter
7424,7425,2014,1,4,8,73,108,53,62,2000,1,-0.9,1018.9,-5.3,0,NE,1,Aotizhongxin,61,Moderate,Weekday,Winter
7425,7426,2014,1,4,9,85,111,48,64,2100,1,0,1018.8,-5.4,0,NE,1,Aotizhongxin,65.25,Moderate,Weekday,Winter
7426,7427,2014,1,4,10,92,129,54,70,2500,1,0.8,1017.9,-4.6,0,NE,1,Aotizhongxin,73,Moderate,Weekday,Winter
7427,7428,2014,1,4,11,106,135,62,68,2200,1,1.3,1016.5,-4.6,0,NE,2,Aotizhongxin,77.5,Moderate,Weekday,Winter
7428,7429,2014,1,4,12,133,169,66,74,2400,1,2,1015.1,-4.1,0,NE,2,Aotizhongxin,94.25,Moderate,Weekday,Winter
7429,7430,2014,1,4,13,142,167,75,75,2200,2,2.1,1014.4,-4,0,NE,1,Aotizhongxin,96.5,Moderate,Weekday,Winter
7430,7431,2014,1,4,14,147,174,69,79,2200,2,2,1014.1,-4.1,0,NE,1,Aotizhongxin,100.5,Unhealthy,Weekday,Winter
7431,7432,2014,1,4,15,150,177,67,85,2200,1,1.6,1014.1,-4.3,0,NE,1,Aotizhongxin,103.25,Unhealthy,Weekday,Winter
7432,7433,2014,1,4,16,155,190,61,91,2300,1,0.7,1014.2,-4.3,0,NE,1,Aotizhongxin,109.25,Unhealthy,Weekday,Winter
7433,7434,2014,1,4,17,174,210,54,98,2500,1,-0.4,1014.6,-4.7,0,NE,0,Aotizhongxin,120.75,Unhealthy,Weekday,Winter
7434,7435,2014,1,4,18,177,218,54,100,2600,1,-2.4,1014.6,-5.1,0,NW,0,Aotizhongxin,124,Unhealthy,Weekday,Winter
7435,7436,2014,1,4,19,185,230,56,102,2800,1,-3.1,1014.8,-5.1,0,NE,0,Aotizhongxin,129.5,Unhealthy,Weekday,Winter
7436,7437,2014,1,4,20,179,236,61,106,3200,1,-1.7,1015.1,-4.5,0,NE,1,Aotizhongxin,130.5,Unhealthy,Weekday,Winter
7437,7438,2014,1,4,21,168,214,72,99,3000,1,-2.1,1015.3,-5.3,0,NE,1,Aotizhongxin,120.5,Unhealthy,Weekday,Winter
7438,7439,2014,1,4,22,184,226,77,95,3500,1,-2,1015.6,-5.2,0,NE,1,Aotizhongxin,126.5,Unhealthy,Weekday,Winter
7439,7440,2014,1,4,23,183,227,82,100,3500,1,-2.5,1015.7,-5.6,0,NE,1,Aotizhongxin,127.75,Unhealthy,Weekday,Winter
7440,7441,2014,1,5,0,148,177,67,91,2600,1,-3.3,1015.8,-5.5,0,NE,1,Aotizhongxin,104.25,Unhealthy,Weekday,Winter
7441,7442,2014,1,5,1,143,177,52,92,2800,1,-3.1,1016.2,-5.7,0,NE,1,Aotizhongxin,103.25,Unhealthy,Weekday,Winter
7442,7443,2014,1,5,2,146,189,63,94,2900,1,-3,1016.9,-5.6,0,NE,1,Aotizhongxin,107.5,Unhealthy,Weekday,Winter
7443,7444,2014,1,5,3,153,194,56,93,2800,1,-4.7,1016.8,-6.5,0,NE,1,Aotizhongxin,110.25,Unhealthy,Weekday,Winter
7444,7445,2014,1,5,4,146,180,47,89,3000,1,-2.6,1016.8,-5.7,0,NE,1,Aotizhongxin,104,Unhealthy,Weekday,Winter
7445,7446,2014,1,5,5,171,234,42,93,3700,1,-2.2,1017.2,-6.8,0,NE,1,Aotizhongxin,124.75,Unhealthy,Weekday,Winter
7446,7447,2014,1,5,6,146,179,52,92,3000,1,-4.5,1017.8,-7.8,0,NE,1,Aotizhongxin,104.5,Unhealthy,Weekday,Winter
7447,7448,2014,1,5,7,122,133,53,81,2400,1,-5.3,1018.6,-7.6,0,NE,1,Aotizhongxin,84.25,Moderate,Weekday,Winter
7448,7449,2014,1,5,8,112,135,54,75,2200,1,-1.6,1019.5,-8.1,0,NE,1,Aotizhongxin,80.75,Moderate,Weekday,Winter
7449,7450,2014,1,5,9,121,178,63,76,2500,1,2.7,1020.1,-9.3,0,NW,1,Aotizhongxin,94,Moderate,Weekday,Winter
7450,7451,2014,1,5,10,80,69,50,63,1600,6,4.8,1019.8,-11.8,0,NE,2,Aotizhongxin,54.5,Moderate,Weekday,Winter
7451,7452,2014,1,5,11,71,98,42,61,1500,14,5.4,1019.1,-11.7,0,NE,2,Aotizhongxin,61,Moderate,Weekday,Winter
7452,7453,2014,1,5,12,82,90,38,59,1400,21,6.4,1018.6,-11.8,0,NE,2,Aotizhongxin,63,Moderate,Weekday,Winter
7453,7454,2014,1,5,13,37,19,21,25,700,44,7.1,1018,-12.2,0,NE,2,Aotizhongxin,31.25,Good,Weekday,Winter
7454,7455,2014,1,5,14,31,31,19,28,700,43,7.3,1018.1,-11.5,0,E,1,Aotizhongxin,33.25,Good,Weekday,Winter
7455,7456,2014,1,5,15,28,18,19,21,600,52,7.4,1018.5,-11.4,0,SE,1,Aotizhongxin,29.75,Good,Weekday,Winter
7456,7457,2014,1,5,16,23,27,19,23,600,48,3.3,1018.5,-11.9,0,SW,1,Aotizhongxin,30.25,Good,Weekday,Winter
7457,7458,2014,1,5,17,31,41,22,54,700,20,-0.3,1018.6,-11.4,0,SW,0,Aotizhongxin,36.5,Good,Weekday,Winter
7458,7459,2014,1,5,18,32,53,21,70,900,7,-1.2,1019.3,-10.8,0,W,0,Aotizhongxin,40.5,Good,Weekday,Winter
7459,7460,2014,1,5,19,39,64,23,81,1100,1,0.4,1019.7,-10.2,0,SW,1,Aotizhongxin,46.25,Good,Weekday,Winter
7460,7461,2014,1,5,20,47,78,24,86,1200,1,-2,1020.3,-10.1,0,SW,1,Aotizhongxin,53,Moderate,Weekday,Winter
7461,7462,2014,1,5,21,54,85,36,83,1100,1,1.1,1021.1,-6.3,0,SW,2,Aotizhongxin,55.75,Moderate,Weekday,Winter
7462,7463,2014,1,5,22,91,188,71,87,2200,1,-0.1,1021.6,-4.5,0,SW,2,Aotizhongxin,91.75,Moderate,Weekday,Winter
7463,7464,2014,1,5,23,109,165,64,80,2200,1,-1,1021.7,-4,0,SW,1,Aotizhongxin,88.75,Moderate,Weekday,Winter
7464,7465,2014,1,6,0,124,132,63,80,3200,1,-0.4,1021.5,-3.1,0,SW,1,Aotizhongxin,84.25,Moderate,Weekend,Winter
7465,7466,2014,1,6,1,137,168,75,86,3800,1,-0.2,1021.7,-2.7,0,SW,2,Aotizhongxin,98,Moderate,Weekend,Winter
7466,7467,2014,1,6,2,137,158,70,69,3800,1,-0.3,1021.6,-2.7,0,SW,2,Aotizhongxin,91.25,Moderate,Weekend,Winter
7467,7468,2014,1,6,3,119,116,57,54,2200,1,-0.4,1021.2,-2.9,0,SW,2,Aotizhongxin,72.5,Moderate,Weekend,Winter
7468,7469,2014,1,6,4,119,125,35,59,2000,1,-0.4,1020.9,-3.4,0,SW,3,Aotizhongxin,76,Moderate,Weekend,Winter
7469,7470,2014,1,6,5,113,105,62,67,2200,1,-0.4,1021.1,-3.4,0,SW,2,Aotizhongxin,71.5,Moderate,Weekend,Winter
7470,7471,2014,1,6,6,100,96,57,57,1800,1,-0.3,1021.1,-4.2,0,SW,2,Aotizhongxin,63.5,Moderate,Weekend,Winter
7471,7472,2014,1,6,7,89,84,58,53,1400,3,-0.2,1021.1,-4.3,0,SW,2,Aotizhongxin,57.25,Moderate,Weekend,Winter
7472,7473,2014,1,6,8,84,83,58,47,1200,5,-0.2,1021.3,-4.1,0,SW,2,Aotizhongxin,54.75,Moderate,Weekend,Winter
7473,7474,2014,1,6,9,98,106,59,53,1400,1,-0.2,1022,-3.9,0,SW,2,Aotizhongxin,64.5,Moderate,Weekend,Winter
7474,7475,2014,1,6,10,111,117,61,56,1500,1,-0.1,1021.2,-4.4,0,SW,1,Aotizhongxin,71.25,Moderate,Weekend,Winter
7475,7476,2014,1,6,11,99,99,54,52,1400,3,-0.2,1020.1,-4.3,0,SW,2,Aotizhongxin,63.25,Moderate,Weekend,Winter
7476,7477,2014,1,6,12,105,105,54,51,1400,6,-0.1,1018.9,-4,0,SW,2,Aotizhongxin,66.75,Moderate,Weekend,Winter
7477,7478,2014,1,6,13,113,111,57,50,1400,10,0.1,1018.2,-4,0,W,1,Aotizhongxin,71,Moderate,Weekend,Winter
7478,7479,2014,1,6,14,125,119,56,54,1500,11,0.1,1018,-4.2,0,W,1,Aotizhongxin,77.25,Moderate,Weekend,Winter
7479,7480,2014,1,6,15,136,148,55,61,1600,7,-0.1,1018,-4.7,0,NW,1,Aotizhongxin,88,Moderate,Weekend,Winter
7480,7481,2014,1,6,16,135,146,55,66,1600,7,-1.1,1018.2,-4.8,0,W,0,Aotizhongxin,88.5,Moderate,Weekend,Winter
7481,7482,2014,1,6,17,134,147,52,75,1700,1,-2.9,1018,-5.5,0,SW,0,Aotizhongxin,89.25,Moderate,Weekend,Winter
7482,7483,2014,1,6,18,134,143,48,79,1700,1,-2.9,1018.6,-4.8,0,W,0,Aotizhongxin,89.25,Moderate,Weekend,Winter
7483,7484,2014,1,6,19,148,159,65,86,2200,1,-3,1018.7,-4.9,0,W,0,Aotizhongxin,98.5,Moderate,Weekend,Winter
7484,7485,2014,1,6,20,160,171,80,87,2400,1,-2.5,1018.6,-4.5,0,SW,0,Aotizhongxin,104.75,Unhealthy,Weekend,Winter
7485,7486,2014,1,6,21,158,163,73,87,2400,1,-2.3,1018.8,-4.5,0,NW,0,Aotizhongxin,102.25,Unhealthy,Weekend,Winter
7486,7487,2014,1,6,22,161,177,74,90,2500,1,-2,1018.7,-4.2,0,NW,0,Aotizhongxin,107.25,Unhealthy,Weekend,Winter
7487,7488,2014,1,6,23,166,188,66,90,2500,1,-1.9,1018.2,-4.1,0,NE,0,Aotizhongxin,111.25,Unhealthy,Weekend,Winter
7488,7489,2014,1,7,0,168,177,65,87,2400,1,-0.9,1018.3,-3.6,0,NE,1,Aotizhongxin,108.25,Unhealthy,Weekend,Winter
7489,7490,2014,1,7,1,163,172,70,86,2300,1,-1.2,1018.5,-3.2,0,NE,0,Aotizhongxin,105.5,Unhealthy,Weekend,Winter
7490,7491,2014,1,7,2,174,191,65,86,2700,1,-1.4,1018.6,-3.3,0,NE,0,Aotizhongxin,113,Unhealthy,Weekend,Winter
7491,7492,2014,1,7,3,194,216,73,90,3200,1,-1.3,1018.8,-3.2,0,NE,1,Aotizhongxin,125.25,Unhealthy,Weekend,Winter
7492,7493,2014,1,7,4,206,223,71,91,3500,1,-0.9,1018.5,-3.3,0,NE,1,Aotizhongxin,130.25,Unhealthy,Weekend,Winter
7493,7494,2014,1,7,5,185,176,76,79,2500,1,-1.6,1018.6,-3.8,0,NE,1,Aotizhongxin,110.25,Unhealthy,Weekend,Winter
7494,7495,2014,1,7,6,175,170,75,79,2500,1,-1.9,1018.8,-3.8,0,NE,1,Aotizhongxin,106.25,Unhealthy,Weekend,Winter
7495,7496,2014,1,7,7,188,194,74,79,3000,1,-1.8,1019.9,-3.8,0,NE,1,Aotizhongxin,115.5,Unhealthy,Weekend,Winter
7496,7497,2014,1,7,8,175,182,60,79,2800,1,-1.5,1021.1,-3.9,0,NE,0,Aotizhongxin,109.25,Unhealthy,Weekend,Winter
7497,7498,2014,1,7,9,163,167,62,72,2700,1,3.7,1021.3,-11.1,0,NE,3,Aotizhongxin,100.75,Unhealthy,Weekend,Winter
7498,7499,2014,1,7,10,154,146,63,74,2500,1,3.9,1021.3,-12.1,0,NE,4,Aotizhongxin,93.75,Moderate,Weekend,Winter
7499,7500,2014,1,7,11,116,67,52,69,1800,6,4.6,1020.5,-12.4,0,NE,4,Aotizhongxin,64.5,Moderate,Weekend,Winter
7500,7501,2014,1,7,12,18,6,26,29,600,32,5.1,1019.8,-12.4,0,NE,3,Aotizhongxin,21.25,Good,Weekend,Winter
7501,7502,2014,1,7,13,20,10,27,24,600,41,5.8,1019.8,-12.8,0,NE,3,Aotizhongxin,23.75,Good,Weekend,Winter
7502,7503,2014,1,7,14,21,12,22,25,500,42,5.8,1020.2,-14.3,0,NW,3,Aotizhongxin,25,Good,Weekend,Winter
7503,7504,2014,1,7,15,104,47,22,35,700,34,5.4,1020.7,-14.7,0,N,3,Aotizhongxin,55,Moderate,Weekend,Winter
7504,7505,2014,1,7,16,137,25,20,42,700,26,4.9,1021.7,-15.7,0,N,2,Aotizhongxin,57.5,Moderate,Weekend,Winter
7505,7506,2014,1,7,17,40,32,20,51,700,17,4,1022.4,-17,0,NW,2,Aotizhongxin,35,Good,Weekend,Winter
7506,7507,2014,1,7,18,21,8,22,55,800,15,3.9,1023.3,-17.1,0,N,1,Aotizhongxin,24.75,Good,Weekend,Winter
7507,7508,2014,1,7,19,27,40,32,63,900,6,2.9,1024.4,-19.2,0,NE,2,Aotizhongxin,34,Good,Weekend,Winter
7508,7509,2014,1,7,20,27,28,35,67,1000,4,2.2,1025.2,-20.4,0,NE,1,Aotizhongxin,31.5,Good,Weekend,Winter
7509,7510,2014,1,7,21,22,15,24,53,800,16,1.2,1026.6,-19.3,0,NE,2,Aotizhongxin,26.5,Good,Weekend,Winter
7510,7511,2014,1,7,22,16,55,13,34,500,32,0.1,1026.4,-18.1,0,NE,2,Aotizhongxin,34.25,Good,Weekend,Winter
7511,7512,2014,1,7,23,7,19,8,18,400,41,-0.5,1025.8,-18.6,0,NE,2,Aotizhongxin,21.25,Good,Weekend,Winter
7512,7513,2014,1,8,0,9,16,8,9,400,48,-1.6,1026.8,-19.6,0,NE,1,Aotizhongxin,20.5,Good,Weekday,Winter
7513,7514,2014,1,8,1,8,16,9,9,400,46,-1.6,1026.9,-19.6,0,NE,2,Aotizhongxin,19.75,Good,Weekday,Winter
7514,7515,2014,1,8,2,9,11,9,12,400,43,-2,1027.3,-19.5,0,NE,2,Aotizhongxin,18.75,Good,Weekday,Winter
7515,7516,2014,1,8,3,9,19,8,10,400,44,-2.5,1027.3,-19,0,NE,2,Aotizhongxin,20.5,Good,Weekday,Winter
